AC,DC
126.275,185.1
125.847,177.2
127.325,178
128.439,180.3
128.851,177.2
131.376,179.6
132.664,177.2
130.77,170.9
132.039,170.1
132.463,174
127.396,186.6
128.4,189.8
129.017,187.4
130.57,189.8
130.192,185.1
129.912,181.9
129.076,181.1
124.97,184.3
126.36,182.7
124.532,187.4
124.708,197.7
124.457,245.7
177.688,296.1
212.176,348.1
234.412,384.3
250.792,396.9
253.173,396.9
269.822,394.5
268.25,393.8
272.675,367.8
271.941,359.1
265,356
253.431,353.6
234.486,351.2
220.832,293.7
158.7,269.3
142.926,265.4
136.878,255.9
131.528,213.4
131.978,191.4
132.632,193.7
132.448,201.6
132.49,200.8
129.789,215
131.206,218.1
130.395,241.8
184.206,310.3
211.71,392.2
225.736,444.2
250.644,452
269.93,475.7
269.569,496.1
257.616,467
254.988,462.3
251.001,454.4
247.381,452
240.501,421.3
229.848,416.6
217.225,358.3
155.709,314.2
140.426,295.3
128.878,262.2
126.34,204.8
129.026,203.2
129.625,207.1
128.671,204.8
129.378,202.4
128.44,200
126.871,202.4
126.629,228.4
179.895,288.2
201.926,379.6
207.102,419.7
223.897,448.9
228.013,450.5
234.398,448.9
231.339,453.6
226.608,463.1
225.314,448.1
222.78,428.4
211.363,421.3
204.033,418.2
201.768,343.4
152.94,300.8
133.093,293
127.682,260.7
127.889,200
127.22,189
127.792,190.6
127.862,189.8
127.511,192.2
127.109,190.6
126.529,203.2
126.614,225.2
181.245,309.5
194.811,368.6
199.771,433.1
212.64,473.3
221.233,479.6
225.17,491.4
233.091,556.8
229.296,522.1
231.962,489
227.634,463.8
223.638,463.1
211.517,462.3
203.133,401.6
150.098,338.6
134.11,318.9
133.075,293.7
132.853,232.3
131.299,215
132.599,208.7
132.361,200
128.143,197.7
124.739,208.7
124.891,210.3
125.928,226.8
179.419,321.3
198.932,365.4
207.134,457.5
215.483,479.6
219.181,576.5
222.541,614.3
225.372,589.8
226.737,585.9
225.74,570.9
219.603,552.8
216.612,512.7
204.734,516.6
200.262,411.9
145.77,318.2
131.829,291.4
130.212,249.6
129.863,201.6
129.182,192.2
129.722,187.4
126.952,189
127.33,187.4
130.751,190.6
126.858,187.4
125.317,192.9
174.42,194.5
185.066,174.8
186.351,185.1
186.29,199.2
190.393,210.3
192.626,208.7
197.416,211.8
201.71,211.1
201.633,212.6
203.615,212.6
200.816,196.9
197.403,200
193.382,214.2
147.203,214.2
133.272,215
136.215,218.1
132.254,200
134.411,192.9
136.321,197.7
133.875,192.9
130.786,204.8
131.142,204.8
130.486,204
130.296,208.7
128.043,208.7
126.926,185.9
128.968,183.5
128.831,185.1
133.132,186.6
